Category,Note,Player,Start.gg Hex ID,Start.gg Num ID,Points
0 - OrionRank,OrionRank 2022 #001,MkLeo,3f297e74,222927,350
0 - OrionRank,OrionRank 2022 #002,あcola,830dec1e,2691639,350
0 - OrionRank,OrionRank 2022 #003,Sparg0,b5230de8,158026,350
0 - OrionRank,OrionRank 2022 #004,Light,e2974569,158871,350
0 - OrionRank,OrionRank 2022 #005,Shuton,993a6b60,226829,350
0 - OrionRank,OrionRank 2022 #006,Tea,ab90c078,695882,300
0 - OrionRank,OrionRank 2022 #007,ProtoBanham,849ebfbf,1041641,300
0 - OrionRank,OrionRank 2022 #008,Tweek,0d650c15,15768,300
0 - OrionRank,OrionRank 2022 #009,Glutonny,7611d833,6122,300
0 - OrionRank,OrionRank 2022 #010,Onin,55206a63,1063610,300
0 - OrionRank,OrionRank 2022 #011,Riddles,03d3a671,160464,250
0 - OrionRank,OrionRank 2022 #012,SALTONE,86e42aaa,18802,250
0 - OrionRank,OrionRank 2022 #013,Dabuz,b0203282,4702,250
0 - OrionRank,OrionRank 2022 #014,Sonix,0301d9f0,258371,250
0 - OrionRank,OrionRank 2022 #015,ヨシドラ,9568f351,1151910,250
0 - OrionRank,OrionRank 2022 #016,Maister,9fb774ae,135042,200
0 - OrionRank,OrionRank 2022 #017,KEN,8881ab7d,212701,200
0 - OrionRank,OrionRank 2022 #018,Zomba,880cbc79,370802,200
0 - OrionRank,OrionRank 2022 #019,Kameme,7472527c,197485,200
0 - OrionRank,OrionRank 2022 #020,ミーヤー,d8016ec8,1636582,200
0 - OrionRank,OrionRank 2022 #021,Sisqui,e97f144e,539193,150
0 - OrionRank,OrionRank 2022 #022,へろー,dba21096,1647076,150
0 - OrionRank,OrionRank 2022 #023,Bloom4Eva,17afe34e,1198828,150
0 - OrionRank,OrionRank 2022 #024,Kurama,d59004ad,175623,150
0 - OrionRank,OrionRank 2022 #025,Asimo,ffa84c87,1569435,150
0 - OrionRank,OrionRank 2022 #026,Gackt,e8f0cdcd,484575,140
0 - OrionRank,OrionRank 2022 #027,Cosmos,f43bf52f,64466,140
0 - OrionRank,OrionRank 2022 #028,zackray,181880b7,498962,140
0 - OrionRank,OrionRank 2022 #029,Anathema,3351cf4f,71203,140
0 - OrionRank,OrionRank 2022 #030,Jakal,8cacea70,231113,140
0 - OrionRank,OrionRank 2022 #031,MuteAce,284d5644,44865,130
0 - OrionRank,OrionRank 2022 #032,ApolloKage,ca0e602a,1099727,130
0 - OrionRank,OrionRank 2022 #033,Big D,67dab81e,21504,130
0 - OrionRank,OrionRank 2022 #034,Lui$,00b68019,173403,130
0 - OrionRank,OrionRank 2022 #035,Ned,36ba38db,39054,130
0 - OrionRank,OrionRank 2022 #036,Jake,1e90eb40,532139,120
0 - OrionRank,OrionRank 2022 #037,Fatality,213213f6,15921,120
0 - OrionRank,OrionRank 2022 #038,HIKARU,b905cb9a,323524,120
0 - OrionRank,OrionRank 2022 #039,Marss,083f2f7a,39206,120
0 - OrionRank,OrionRank 2022 #040,ヤウラ,5e9efb3c,2331494,120
0 - OrionRank,OrionRank 2022 #041,Chag,c5e8b49a,70916,110
0 - OrionRank,OrionRank 2022 #042,Scend,574b3c34,28679,110
0 - OrionRank,OrionRank 2022 #043,Kome,0910174c,320526,110
0 - OrionRank,OrionRank 2022 #044,Abadango,85a82016,23241,110
0 - OrionRank,OrionRank 2022 #045,Tilde,f32b3276,525344,110
0 - OrionRank,OrionRank 2022 #046,Ouch!?,5dba9df5,300502,110
0 - OrionRank,OrionRank 2022 #047,Paseriman,28b69bad,544593,110
0 - OrionRank,OrionRank 2022 #048,Aaron,3f44b63e,29773,110
0 - OrionRank,OrionRank 2022 #049,MASA,c8cc35c8,559890,110
0 - OrionRank,OrionRank 2022 #050,Nietono,dfe0668e,31697,110
0 - OrionRank,OrionRank 2022 #051,BassMage,1072c31f,229756,100
0 - OrionRank,OrionRank 2022 #052,Mr.R,2df8b2c9,14411,100
0 - OrionRank,OrionRank 2022 #053,MKBigBoss,60bedceb,546734,100
0 - OrionRank,OrionRank 2022 #054,Repo,2f69f3c8,1276498,100
0 - OrionRank,OrionRank 2022 #055,goblin deez,e2b415de,57020,100
0 - OrionRank,OrionRank 2022 #056,Tarik,b78faa57,215623,100
0 - OrionRank,OrionRank 2022 #057,Skyjay,f5b6768a,961165,100
0 - OrionRank,OrionRank 2022 #058,Shirayuki,deb476b0,1494087,100
0 - OrionRank,OrionRank 2022 #059,Sigma,c85ce835,569216,100
0 - OrionRank,OrionRank 2022 #060,MVD,7be9196d,21460,100
0 - OrionRank,OrionRank 2022 #061,Rizeasu,fd635518,533753,90
0 - OrionRank,OrionRank 2022 #062,Lima,b26c2ab1,216617,90
0 - OrionRank,OrionRank 2022 #063,DIO,9ecf6867,1335040,90
0 - OrionRank,OrionRank 2022 #064,quiK,a488aa5c,6872,90
0 - OrionRank,OrionRank 2022 #065,Huto,95a90b8f,498225,90
0 - OrionRank,OrionRank 2022 #066,jaredisking1,2081bbaa,261271,90
0 - OrionRank,OrionRank 2022 #067,Syrup,0f333fd3,1216463,90
0 - OrionRank,OrionRank 2022 #068,SHADIC,8c295120,823045,90
0 - OrionRank,OrionRank 2022 #069,yonni,202e52e8,1989582,90
0 - OrionRank,OrionRank 2022 #070,Space,234cbf40,180857,90
0 - OrionRank,OrionRank 2022 #071,Ling,f8345700,58121,80
0 - OrionRank,OrionRank 2022 #072,Atelier,d6657d35,553122,80
0 - OrionRank,OrionRank 2022 #073,Raflow,1e53f5f2,1352543,80
0 - OrionRank,OrionRank 2022 #074,Noi,9b3c0744,1342372,80
0 - OrionRank,OrionRank 2022 #075,AlanDiss,46ff138e,128243,80
0 - OrionRank,OrionRank 2022 #076,Luugi,57bd7962,1777711,80
0 - OrionRank,OrionRank 2022 #077,Dark Wizzy,9539ce78,249838,80
0 - OrionRank,OrionRank 2022 #078,Peabnut,9160966b,49302,80
0 - OrionRank,OrionRank 2022 #079,WaDi,0a66b04b,160113,80
0 - OrionRank,OrionRank 2022 #080,アカキクス,f3d4fad1,1857350,80
0 - OrionRank,OrionRank 2022 #081,Myran,266882d2,24641,70
0 - OrionRank,OrionRank 2022 #082,ESAM,0d82ea3f,19622,70
0 - OrionRank,OrionRank 2022 #083,じょうぎぶ,a064a355,1487005,70
0 - OrionRank,OrionRank 2022 #084,WaKa,cb6001b4,504366,70
0 - OrionRank,OrionRank 2022 #085,Leon,b6859efe,5604,70
0 - OrionRank,OrionRank 2022 #086,Oryon,ac800e16,977863,70
0 - OrionRank,OrionRank 2022 #087,DDee,e6d10518,1480393,70
0 - OrionRank,OrionRank 2022 #088,ChunkyKong,419ccc4e,1215486,70
0 - OrionRank,OrionRank 2022 #089,ShinyMark,1cbc6e18,184005,70
0 - OrionRank,OrionRank 2022 #090,ヤマナクション,902ef190,1405882,70
0 - OrionRank,OrionRank 2022 #091,IcyMist,1466a72e,147658,60
0 - OrionRank,OrionRank 2022 #092,Mugen,0895a60d,71079,60
0 - OrionRank,OrionRank 2022 #093,Zinoto,9c882d5c,3662,60
0 - OrionRank,OrionRank 2022 #094,Munekin,db6ec18d,1336568,60
0 - OrionRank,OrionRank 2022 #095,Umeki,e4d2585c,30009,60
0 - OrionRank,OrionRank 2022 #096,たいけい,755e1bd3,2146899,60
0 - OrionRank,OrionRank 2022 #097,トウラ,7098c985,1218808,60
